id,character,on_yomi,kun_yomi,meaning,stroke_count,example_word1,example_word2
1,日,ニチ・ジツ,ひ・か,sun / day,4,日本 (にほん),毎日 (まいにち)
2,月,ゲツ・ガツ,つき,moon / month,4,月曜日 (げつようび),今月 (こんげつ)
3,火,カ,ひ,fire,4,火曜日 (かようび),火山 (かざん)
4,水,スイ,みず,water,4,水曜日 (すいようび),水泳 (すいえい)
5,木,モク・ボク,き・こ,tree / wood,4,木曜日 (もくようび),木材 (もくざい)
6,金,キン・コン,かね・かな,gold / money,8,金曜日 (きんようび),お金 (おかね)
7,土,ド・ト,つち,earth / soil,3,土曜日 (どようび),土地 (とち)
8,山,サン,やま,mountain,3,富士山 (ふじさん),山道 (やまみち)
9,川,セン,かわ,river,3,川岸 (かわぎし),大川 (おおかわ)
10,田,デン,た,rice field,5,田んぼ (たんぼ),田中 (たなか)
11,人,ジン・ニン,ひと,person / people,2,日本人 (にほんじん),一人 (ひとり)
12,口,コウ・ク,くち,mouth / opening,3,入口 (いりぐち),出口 (でぐち)
13,目,モク・ボク,め,eye,5,目的 (もくてき),目薬 (めぐすり)
14,耳,ジ,みみ,ear,6,耳鼻科 (じびか),耳鳴り (みみなり)
15,手,シュ,て,hand,4,手紙 (てがみ),上手 (じょうず)
16,足,ソク,あし・た,foot / leg,7,足音 (あしおと),足りる (たりる)
17,力,リョク・リキ,ちから,power / strength,2,力持ち (ちからもち),体力 (たいりょく)
18,大,ダイ・タイ,おお,big / large,3,大学 (だいがく),大人 (おとな)
19,小,ショウ,ちい・こ・お,small / little,3,小学校 (しょうがっこう),小説 (しょうせつ)
20,中,チュウ,なか,middle / inside,4,中学校 (ちゅうがっこう),中心 (ちゅうしん)
21,上,ジョウ・ショウ,うえ・あ・のぼ,above / up,3,上手 (じょうず),屋上 (おくじょう)
22,下,カ・ゲ,した・くだ・さ,below / down,3,下手 (へた),地下 (ちか)
23,左,サ,ひだり,left,5,左右 (さゆう),左手 (ひだりて)
24,右,ウ・ユウ,みぎ,right,5,右側 (みぎがわ),右折 (うせつ)
25,本,ホン,もと,book / origin,5,日本 (にほん),本屋 (ほんや)
26,文,ブン・モン,ふみ,sentence / writing,4,文字 (もじ),文学 (ぶんがく)
27,字,ジ,あざ,character / letter,6,文字 (もじ),漢字 (かんじ)
28,学,ガク,まな,study / learning,8,学校 (がっこう),学生 (がくせい)
29,校,コウ,—,school,10,学校 (がっこう),高校 (こうこう)
30,先,セン,さき,ahead / previous,6,先生 (せんせい),先週 (せんしゅう)
31,生,セイ・ショウ,い・う・は・なま,life / birth,5,学生 (がくせい),先生 (せんせい)
32,年,ネン,とし,year,6,今年 (ことし),来年 (らいねん)
33,百,ヒャク,もも,one hundred,6,三百 (さんびゃく),百科 (ひゃっか)
34,千,セン,ち,one thousand,3,三千 (さんぜん),千円 (せんえん)
35,万,マン・バン,よろず,ten thousand,3,一万 (いちまん),万年筆 (まんねんひつ)
36,円,エン,まる,yen / circle,4,千円 (せんえん),円形 (えんけい)
37,何,カ,なに・なん,what,7,何時 (なんじ),何日 (なんにち)
38,今,コン・キン,いま,now / this,4,今日 (きょう),今年 (ことし)
39,時,ジ,とき,time / hour,10,時間 (じかん),何時 (なんじ)
40,分,ブン・フン・ブ,わ,minute / part,4,三分 (さんぷん),分かる (わかる)
41,半,ハン,なか,half,5,一時半 (いちじはん),半分 (はんぶん)
42,気,キ・ケ,いき・き,spirit / air / feeling,6,天気 (てんき),元気 (げんき)
43,天,テン,あめ・あま,heaven / sky,4,天気 (てんき),天国 (てんごく)
44,電,デン,—,electricity,13,電車 (でんしゃ),電話 (でんわ)
45,話,ワ,はな・はなし,speech / talk,13,電話 (でんわ),話す (はなす)
46,語,ゴ,かた,language / word,14,日本語 (にほんご),英語 (えいご)
47,読,ドク,よ,read,14,読書 (どくしょ),読む (よむ)
48,書,ショ,か,write,10,書道 (しょどう),書く (かく)
49,聞,ブン・モン,き・き,hear / listen,14,聞く (きく),新聞 (しんぶん)
50,見,ケン,み,see / look,7,見る (みる),見物 (けんぶつ)
51,行,コウ・ギョウ,い・ゆ・おこな,go,6,行く (いく),銀行 (ぎんこう)
52,来,ライ,く・き・こ,come,7,来る (くる),来年 (らいねん)
53,帰,キ,かえ,return,10,帰る (かえる),帰国 (きこく)
54,食,ショク,た・く,eat / food,9,食べる (たべる),食堂 (しょくどう)
55,飲,イン,の,drink,12,飲む (のむ),飲み物 (のみもの)
56,買,バイ,か,buy,12,買う (かう),売買 (ばいばい)
57,売,バイ,う,sell,7,売る (うる),売店 (ばいてん)
58,出,シュツ・スイ,で・だ,exit / out,5,出る (でる),出口 (でぐち)
59,入,ニュウ,い・はい,enter / put in,2,入る (はいる),入口 (いりぐち)
60,立,リツ・リュウ,た,stand,5,立つ (たつ),立派 (りっぱ)
61,高,コウ,たか,high / expensive,10,高校 (こうこう),高い (たかい)
62,安,アン,やす,cheap / peaceful,6,安い (やすい),安心 (あんしん)
63,白,ハク・ビャク,しろ・しら,white,5,白い (しろい),白紙 (はくし)
64,黒,コク,くろ,black,11,黒い (くろい),黒板 (こくばん)
65,赤,セキ・シャク,あか,red,7,赤い (あかい),赤ちゃん (あかちゃん)
66,青,セイ・ショウ,あお,blue / green,8,青い (あおい),青春 (せいしゅん)
67,花,カ,はな,flower,7,花見 (はなみ),花火 (はなび)
68,草,ソウ,くさ,grass,9,草原 (そうげん),草花 (くさばな)
69,雨,ウ,あめ・あま,rain,8,雨天 (うてん),雨季 (うき)
70,雪,セツ,ゆき,snow,11,雪国 (ゆきぐに),雪だるま (ゆきだるま)
71,風,フウ・フ,かぜ・かざ,wind,9,台風 (たいふう),風邪 (かぜ)
72,石,セキ・シャク,いし,stone,5,石橋 (いしばし),化石 (かせき)
73,林,リン,はやし,woods / grove,8,森林 (しんりん),林業 (りんぎょう)
74,森,シン,もり,forest,12,森林 (しんりん),森林浴 (しんりんよく)
75,犬,ケン,いぬ,dog,4,犬小屋 (いぬごや),野犬 (やけん)
